Judet,Indicative,Prescolar,PrimarSiGimnazialInvatamantSpecial,PrimarSiGimnazial,PrimarSiGimnazialSpecial,Liceal,Profesional,Postliceal,UniversitarDeLicenta
Alba,AB,17,80,79,1,36,2,5,1
Arad,AR,19,91,89,2,41,,3,2
Arges,AG,34,129,125,4,42,,8,2
Bacau,BC,16,127,125,2,36,,4,2
Bihor,BH,36,112,107,5,51,,3,4
Bistrita-Nasaud,BN,16,66,62,4,27,3,3
Botosani,BT,9,85,85,,29,5,3
Braila,BR,15,62,61,1,21,1,3
Brasov,BV,57,85,83,2,41,3,2,2
Buzau,BZ,16,95,95,,28,3,6
Calarasi,CL,14,77,73,1,28,,1
Caras-Severin,CS,12,66,65,4,17,1
Cluj,CJ,68,114,109,5,67,3,11,9
Constanta,CT,54,99,97,2,61,,7,5
Covasna,CV,7,53,52,1,17,,1
Dambovita,DB,19,100,99,1,30,,3,1
Dolj,DJ,32,125,123,2,45,2,10,2
Galati,GL,32,110,107,3,34,1,8,2
Giurgiu,GR,8,64,63,1,12,,2
Gorj,GJ,12,67,66,2,32,1,3,1
Harghita,HR,15,75,73,2,38,1
Hunedoara,HD,11,65,63,2,32,,1,1
Ialomita,IL,7,62,61,1,17,5,1
Iasi,IS,42,142,139,3,49,17,5,7
Ilfov,IF,57,59,58,3,19,11,,1
Maramures,MM,29,100,99,1,38,1,4
Mehedinti,MH,7,76,75,1,20,,2
Mures,MS,18,127,124,3,34,,7,3
Neamt,NT,7,95,92,3,37,1,2,1
Olt,OT,13,116,115,1,30,6,2
Prahova,PH,36,143,138,5,43,1,6,1
Salaj,SJ,21,77,76,,29,5,2
Satu Mare,SM,16,66,66,1,20,3,2
Sibiu,SB,43,88,85,3,31,3,5,3
Suceava,SV,25,144,142,2,41,,8,1
Teleorman,TR,7,110,108,2,19,,3
Timis,TM,46,123,117,6,57,2,2,7
Tulcea,TL,5,54,53,1,18,2,1
Valcea,VL,17,103,100,1,23,,4
Vaslui,VS,13,89,88,3,25,1,3
Vrancea,VN,15,80,80,,22,,4
Municipiul Bucuresti,B,257,201,187,14,122,,9
