,Comunalitate,Varianta specifica
Prescolar,0.9950060686334333,0.004993931366566673
PrimarSiGimnazialInvatamantSpecial,0.9973573437992957,0.002642656200704252
PrimarSiGimnazial,0.9973196673601442,0.002680332639855787
PrimarSiGimnazialSpecial,0.995000829350368,0.0049991706496319566
Liceal,0.99500044707775,0.004999552922249961
Profesional,0.6623844033070747,0.3376155966929253
Postliceal,0.75762328785796,0.24237671214204004
UniversitarDeLicenta,0.6810531247457001,0.3189468752542999
