,KMO
Prescolar,0.7165161245564738
PrimarSiGimnazialInvatamantSpecial,0.6604923415357752
PrimarSiGimnazial,0.6481768123557401
PrimarSiGimnazialSpecial,0.784915056800599
Liceal,0.8156705902601696
Profesional,0.1627013317526445
Postliceal,0.8161736995380561
UniversitarDeLicenta,0.3948380594976498
KMO Total,0.692916005782858
