,F1,F2,F3,F4,F5,F6,F7,F8
Prescolar,0.8622013756320551,-0.07926084133137115,0.39743901404422016,-0.18884654825309824,0.19605466149547504,-0.060988014398918114,-0.09774875271372445,0.0
PrimarSiGimnazialInvatamantSpecial,0.9100580155815184,-0.00362778162388047,-0.3773715265822136,-0.09667224148162006,-0.1273143355940422,-0.012503654181515741,-0.03191423682151194,0.0
PrimarSiGimnazial,0.8916487593377956,0.005792945241015625,-0.42253298038649306,-0.09883261105720416,-0.11539968896041489,-0.011460626233478766,-0.022319507800296973,0.0
PrimarSiGimnazialSpecial,0.8514673603699273,-0.13078156915246644,0.39542578403095274,-0.05947328845685489,-0.15879005368489915,0.2565228833823212,0.04453595379753052,0.0
Liceal,0.9333542101414843,-0.04115157862663459,0.19398996295224627,0.09940766668536632,-0.013604732160936994,-0.2569410442222031,0.09186476038308777,0.0
Profesional,0.1107049914012961,0.7115335084313675,-0.03562324837723704,-0.35314125647289724,0.11880734311954631,0.03711004876149785,0.04877264826573798,0.0
Postliceal,0.6859025465988017,-0.07558250375822108,-0.27312824413035314,0.2939878524445825,0.31955730432500645,0.13202496943427125,0.029545069378572625,0.0
UniversitarDeLicenta,0.3156409539995707,0.5997706598248411,0.16169656528548376,0.42526027778192943,-0.1099804385970147,0.0028940046935587186,-0.05101875435338631,0.0
