,C1,C2,C3,C4,C5,C6,C7,C8
Prescolar,0.7356846852561431,0.738997610523555,0.8530175684223065,0.9293111556135125,0.9573061792016619,0.9700816031171058,0.9999999272511598,1.0000000000000024
PrimarSiGimnazialInvatamantSpecial,0.8223536656460989,0.8241770777513305,0.9421493872313889,0.9423712116865082,0.9983206657583708,0.9987022958490036,0.9997653227396031,1.0000000000000022
PrimarSiGimnazial,0.7896785647300871,0.7910463753352549,0.9414317427393687,0.941459171897355,0.9983329993020139,0.9985735806406051,0.9997811752958794,1.0000000000000016
PrimarSiGimnazialSpecial,0.7172179353878464,0.7276193356481653,0.8734234788563875,0.9024057101006421,0.902405892462571,0.9952211895377495,0.999999706899794,1.0000000000000013
Liceal,0.864337918233021,0.8663291919198496,0.9118049533390344,0.9119447392631522,0.9127959396663008,0.9738673700030199,0.9999999513747971,1.000000000000003
Profesional,0.014734885028194497,0.7257224122373969,0.7885458801142292,0.9737997199807518,0.998323791527044,0.9984928643182253,0.9999999822344241,0.999999999999999
Postliceal,0.5232652291048362,0.5385070898559433,0.6392118389150905,0.784861754646621,0.9979763007641407,0.9998138188458907,0.9999999504248271,1.000000000000001
UniversitarDeLicenta,0.11707291219027481,0.5918736951442146,0.6856882018844206,0.9825315255684448,0.9979959692950865,0.9981771009589356,0.999999992811698,0.9999999999999986
