,F1,F2,F3,F4,F5,F6,F7,F8
Prescolar,0.9189086896206563,0.2731181805104301,0.03352752734172842,0.10767957816497357,0.19483272264305085,0.030566346634718473,-0.1562250627947379,0.0
PrimarSiGimnazialInvatamantSpecial,0.36734748761277713,0.9001937631527793,0.07629195035779751,0.07814955479054192,0.19970747579663972,0.012474086445709746,0.009892552736145059,0.0
PrimarSiGimnazial,0.32348491844998195,0.9128890455607243,0.06381306013906991,0.09217688148686375,0.21516067655524274,0.01776516474013595,0.011504931632693971,0.0
PrimarSiGimnazialSpecial,0.8726874787562265,0.33732348550940994,0.15521197131953565,-0.062161757761293165,0.07552405654357171,-0.1187180198862783,0.26809992235147456,0.0
Liceal,0.7371417682568929,0.49331343377447867,0.2690368436676098,-0.06397755087091789,0.1768011916676484,0.3071604959751939,-0.07863926943700764,0.0
Profesional,0.005814993460492847,0.06515660521563983,0.17220162586673168,0.7919267234544505,-0.0357432757522457,-0.002491545983502683,-0.004481196220520606,0.0
Postliceal,0.24916063094380433,0.47315736249369883,0.14463151902880594,-0.07694601482202117,0.6667309781816807,0.01715298573531094,0.0009952302975306158,0.0
UniversitarDeLicenta,0.12023867126257302,0.0700859416974012,0.7860815914957963,0.19270993122220717,0.0803419401970172,0.01149548438001862,0.005948769546400751,0.0
