Indicative,C1,C2,C3,C4,C5,C6,C7,C8
IL,1.0439606851332521,0.7305878981368857,-0.43086899743701007,0.5490486377522853,-0.013836409067039954,-0.06999655624953678,-0.4734502940420884,-0.4821161247875118
IS,-1.2471972580050694,4.71169302214301,1.6364216945102745,0.9954617708890634,-0.22964168454893477,-0.07633847709893808,0.849144739549345,-0.13659921788979643
IF,0.4865688848086825,1.3666707239998903,0.033353114765048784,2.7035231917187335,3.26268027636733,0.9192469798830775,-0.27341054373345214,-0.0816887548539874
MM,0.057698717388565315,-0.5456455253104618,0.18842784805976678,-0.651424022978777,-0.6026502700800161,-1.6593339298582106,-1.073149683328572,1.065030714138801
MH,0.7797858675337509,0.24200062150626306,-0.08624767549087457,0.010378336930641578,-0.37209713539649497,-0.15677014051058813,-0.823127868047318,-0.12254949842614041
MS,-0.5765028956529468,-0.10075117565836164,1.365144955429743,-0.7439649472232953,-0.09115052965452891,1.0396035449707965,-0.1625006200626082,-0.6080054213454524
NT,0.2906569355464099,-1.1161358021153869,-0.0660906923923723,0.5594911723405541,-1.1681986239334374,0.10703598460787131,1.9489337057655054,-0.3938943600612636
OT,0.08686777852232158,0.7902672454936506,1.1911448902879158,0.6769029840957681,-1.5907828314641688,-0.6996923697012019,-0.7107305128245186,0.8017818109761328
PH,-0.9512681725728495,-1.5016197138480718,1.124536760608299,0.2827539872014948,-0.9502115401180878,1.497662551070766,0.47318424292482236,-0.7151983732384096
SJ,0.44500994034177704,0.5539802384265552,-0.49486992294619386,0.6794833296052499,-0.06103684202973944,0.3006762175843257,0.5283391111154576,1.0746665738201107
SM,0.8655037327399219,0.1616017558349497,-0.5007530346023624,0.011562338964685436,0.05894468058527005,-0.3870826936697271,-1.1750161750407475,0.9695166684075526
SB,-0.020722137295418316,-0.05026394727023324,-0.35268455194734444,-0.20932247990418248,0.806710689818243,0.369986855772513,-1.1271657699136235,-0.7126839904754807
SV,-0.8040319360117671,-0.8618688400813982,2.5314653277435317,-0.04549023953627161,0.09445385476766126,-0.3307840657443942,0.09643981938339707,0.20776081963016427
TR,0.20222212545145582,0.092455846233417,0.8634803130497214,-0.058148329515176116,-1.2695625339530934,1.0736720064633711,-1.545127249281925,-0.2044328626923781
TM,-1.0055287525159626,0.971513429505273,-1.8525746815949558,-1.247742894297848,-2.925246496997258,0.8193612394562196,0.3391920990664101,0.15090295696901382
TL,1.1771231322313953,-0.005244561305908418,-0.9909129980651645,-0.11677525156380333,-0.14734774067966233,-0.25436930469525,-0.5708898024079194,-0.336141699982427
VL,0.23160432752301913,0.08722042288860588,0.8382401769585318,-0.2746389043432725,-0.41239999080979933,-0.1854134524180893,-1.8183766753079689,-1.9602269565366635
VS,0.31670034024839827,-0.512683092630966,-0.35918256336834625,-0.4117476713240399,-0.7374118373298726,1.1055642579733256,-0.4818279551631293,1.522796560355049
VN,0.39650959969204647,0.07596286990043499,-0.10950545479700553,-0.13987133634823126,0.4403234899113257,1.134647641305544,-0.3024828932678152,1.7818128662191437
B,-4.634478628502065,-1.2973049004850523,-2.2756773319591144,2.5691356060659927,0.3359248272949325,-0.3472311488215557,-1.3434836178649419,0.0669585432683059
