Indicative,C1,C2,C3,C4,C5,C6,C7,C8
IF,0.0830028440129817,0.17425632940841237,7.069698535496291e-05,0.40995398413425566,0.3213831768104733,0.010951901644478077,0.00038083531862447684,2.3168541949551217e-07
MM,0.010851524326747478,0.2582474834472849,0.0209784017930747,0.221287343980575,0.10194335877001307,0.33177741715277437,0.054548326009345414,0.00036614452018507876
MH,0.9388161493532423,0.024061309882820302,0.002081845145296617,2.660455315325249e-05,0.018408240604359218,0.0014027404844633399,0.015200813707723934,2.296268941013138e-06
MS,0.41414488380386366,0.003365937377686962,0.4209501263295908,0.1103379390205013,0.000891533167968005,0.04978581517903325,0.00047814735024311305,4.561777111288345e-05
NT,0.13200043432269776,0.5179699080231933,0.0012371386504989575,0.07824760655010533,0.1836188052695163,0.0006617506867959372,0.08624034919561546,2.4007301576818848e-05
OT,0.010093001759775445,0.2222835653297628,0.3439979818701803,0.09804520999489402,0.29147043279018675,0.02420683435416029,0.009817823801225808,8.515009981453684e-05
PH,0.47354235465112665,0.3139997418070256,0.1199565599187484,0.006693310582028965,0.04068771443644618,0.043391198094236264,0.001702612582762451,2.6507927625464312e-05
SJ,0.48802118133006583,0.201253881620496,0.1093969360267297,0.18202350205195938,0.0007905933487211994,0.00823603547915893,0.009996021094209806,0.00028184904865927683
SM,0.905236000623514,0.008397935777168686,0.05492814073468259,2.5845558808760496e-05,0.00036156215087281674,0.006693484166555417,0.024244543471342285,0.00011248751705551377
SB,0.0038940502336291443,0.00609680226908418,0.2044697769619561,0.06356745205975545,0.508203763631088,0.045890823545164536,0.16742119324484128,0.0004561380544814644
SV,0.32145762678033946,0.09829150092385455,0.5776235549199419,0.0001646206031787142,0.00038202018124733344,0.002011347462875388,6.72035641053962e-05,2.125564457260523e-06
TR,0.10353615045373243,0.005759170023986739,0.342186873048058,0.001369555900479991,0.3514088254031958,0.10789435835759398,0.08783458814843866,1.0478664514509378e-05
TM,0.34903496482328134,0.08670298240602917,0.2147608870587704,0.08598065792331872,0.25437514902529734,0.008567450092362403,0.000577130194826951,7.784761137396881e-07
TL,0.8798662916626574,4.647802830421826e-06,0.11302323508597985,0.001385304100834436,0.0011872157531918628,0.0015188787335426311,0.003007321477527613,7.1053834357418864e-06
VL,0.2067517066538286,0.007802766511779923,0.4909265288846829,0.046510443904460574,0.05644985808363696,0.004898454168102098,0.18519355182537264,0.0014666899681363664
VS,0.3170347416978701,0.22108753580376217,0.07392036111037892,0.08573195062201822,0.14801298024718237,0.14282314117335923,0.010663411712363399,0.0007258776330656359
VN,0.6835886133823207,0.006676465478872173,0.009451107573004788,0.013608663060340318,0.0725940311453108,0.20693323219155063,0.005780846507313249,0.001367040661287495
B,0.8963766790300737,0.018690863707221218,0.03917724936146864,0.04406902511161469,0.0004055484853906954,0.00018601456043334857,0.0010946012140025298,1.8529795168313095e-08
