Indicative,C1,C2,C3,C4,C5,C6,C7,C8
AB,0.4028687179088391,1.8734749182245158,0.3954255965045129,0.002336882427024747,2.5434787361941527,4.62839771033306,3.069913702207769,0.02315052756286203
AR,0.08459353066570206,0.0860692535764977,0.0038592697469969754,0.3995415073448898,0.2250939718609694,2.5955012118696144,5.4115072218817275,0.010608058386706823
AG,1.7649524546572495,0.7639755359979997,4.016516114586727,0.11520345615100207,0.9858308243643152,2.437059742098244,1.2560878119965297,2.404237010813894
BC,0.18617937192813722,0.20787459472224504,4.416182915173707,0.1000853421034814,4.168321562615629,0.1452000124640803,0.024292141785789836,0.5091305435423779
BH,0.8721721589731569,0.2300290060551598,1.4624116914775926,1.447421227301031e-06,4.301225218029888,0.7562695099859409,6.532601100031065,0.5752945008358527
BN,0.597545909094523,9.756389051417626e-06,3.0992211514839036,0.039998619621207834,0.7789376627925612,6.1003457093109095,4.136914287291468,8.834622170906728
BT,0.2564959947164503,0.6196049082225213,0.0027705277527162,0.32069455769260385,0.014625736118267226,1.0495003240527143,2.9661183109311495,9.513484573370274
BR,1.8278789708503713,0.32880000377724367,1.1965223801580345,0.9510950566668118,0.37691534493932505,0.4541645265136003,3.233185522117411,0.10768080692643732
BV,0.0542176932737719,0.17828476158341394,1.2458257564505588,1.9217287940548495,0.06227715630433952,8.103067881246833,2.2561008983804145,1.3347318360083118
BZ,0.0001177017498437475,0.04670553751990496,0.601985843286663,0.8469899972210794,1.1130881767152438,2.0815412712802517,7.957278293086641e-05,8.850235402111572
CL,1.2581397153613187,0.15885244449866823,0.4595384760898085,0.19930997334724715,1.3927882015943414,2.438794023799017,0.20659627731218053,21.12902484527424
CS,0.7540311291206683,0.6582688735288228,2.236714171599133,0.7563921854397515,1.205593046411539,15.143296251233062,0.03749668928082868,3.1105072962156384
CJ,6.7528451543734,5.901623101272802,3.7864135855491003,32.30485463505321,5.37909139480334,0.10268202538042391,0.0553410674647346,0.51060667911391
CT,1.1388144249331802,0.8551828813867302,0.481399462762594,4.8190664741275295,2.0091634114518557,16.431201942244456,1.0816176205807997,1.8206364679345586
CV,3.3077723150857734,0.27245390542066117,1.8371767450391412,0.08677882250671175,0.03156872528769136,0.075741195794978,0.6279649392488741,0.5916867723415073
DB,0.23525044247014468,0.5961269456273981,1.9920762930922327,1.383270692188135,0.49169571827316577,2.261112374594247,0.282213894181096,0.4581657745134518
DJ,1.4766413421133853,1.964457414233745,7.377159148174716,3.1474807042640514,5.025600693374975,1.1331446691608908,0.19064413721441173,0.028007261441928485
GL,0.40426540659167415,2.6871443494654765,1.6507275637937662,1.8130699262293164,2.6988915721669593,1.0569929435183016,0.6867424329787182,1.5715742939525283
GR,2.4854039041792033,0.19081119250545003,0.27860102236233847,1.0044569829255153e-05,0.059609973444742795,0.3374360419362134,5.607411636133959,0.7836206181300658
GJ,1.168386825099289,2.64698369726471,0.571440101705631,0.17150508789326624,0.5055839421802372,0.5719199752552103,5.249179298066686,0.5435892770998011
HR,0.3312938298408743,0.6285076951185163,0.9249068727632985,1.2332478083886291,0.23816343181283844,1.4147939043535604,3.481581966197208,0.18804136172582975
HD,1.6782919067169024,0.33529427864158806,0.8459153339673131,3.2512907700185543,0.001520450035510174,0.9234468237281,9.30635113355135,0.7906198523239643
IL,2.5948902669140277,1.270853992628743,0.4420192689342248,0.7177485871848572,0.0004558243235011083,0.011665518778082324,0.5337028117346213,0.553418947095766
IS,3.7035738104175406,52.85726460693121,6.375895148247337,2.3593908030990227,0.1255602459106488,0.01387515020425025,1.7167780683436382,0.04442701506693245
IF,0.5636887611046796,4.447116351996149,0.00264864348697742,17.40247059085963,25.34543472808666,2.011940500057525,0.1779841081538626,0.015888220641898928
MM,0.007926528543536992,0.7088786649793561,0.08453584267722523,1.0103648993186998,0.8647317810178965,6.555688311377851,2.7420243876862376,2.7006914810939606
MH,1.4477761885842046,0.13943881145099413,0.017711098875188604,0.00025645208915694946,0.3296578051673275,0.05851637370407044,1.613189255133633,0.035758046582153966
MS,0.7913228302291265,0.02416856999176675,4.437192260322088,1.3178186730880004,0.01978195013405037,2.5732750731329737,0.06287250362079111,0.880168077108597
NT,0.2011463194791192,2.9660931637232313,0.01039995147834091,0.7453104093500177,3.24925720228566,0.027277861907086864,9.043672832068768,0.3694113497336551
OT,0.01796669272715031,1.486957903095527,3.378157499188125,1.090946785423227,6.02521432590752,1.165641457662105,1.2027091949042987,1.530604934315303
PH,2.154550324166882,5.368718488136102,3.0109117284747815,0.19035670780557865,2.1497665975561637,5.340459802094759,0.5331031613150912,1.2178778882930341
SJ,0.4715091595309343,0.7307002489693873,0.5830862872304099,1.0992799885986582,0.008870228773722302,0.2152528281448022,0.6646243246054123,2.749781535444578
SM,1.7835635985398561,0.062178874973663506,0.5970323849130358,0.0003183040055578166,0.008272560403094077,0.35674526604431434,3.2872928847795113,2.23800611981062
SB,0.0010223975573575418,0.006015391417106633,0.29615807900547436,0.10432357284104013,1.5494812787310133,0.32592922248673944,3.025006363964232,1.2093296911434777
SV,1.539207986016266,1.7686140416744143,15.25789691801827,0.0049270521263508745,0.021241739715405824,0.2605192813104569,0.02214437800643403,0.10277275755575029
