,Varianta,Procent varianta,Procent cumulat
F1,4.545128171652417,56.81410214565521,56.81410214565521
F2,0.896843764117816,11.2105470514727,68.0246491971279
F3,0.7749086476682312,9.68635809585289,77.7110072929808
F4,0.46017929057167417,5.752241132145927,83.46324842512672
F5,0.22169058084102433,2.771132260512804,86.23438068563954
F6,0.1546460386630205,1.9330754832877564,88.16745616892729
F7,0.027348678617543067,0.3418584827192883,88.50931465164659
F8,0.0,0.0,88.50931465164659
