,Comunalitate,Varianta specifica
Prescolar,0.995006068633434,0.004993931366566007
PrimarSiGimnazialInvatamantSpecial,0.9973573437992961,0.002642656200703919
PrimarSiGimnazial,0.9973196673601443,0.002680332639855676
PrimarSiGimnazialSpecial,0.9950008293503685,0.0049991706496315125
Liceal,0.9950004470777506,0.004999552922249406
Profesional,0.6623844033070755,0.3376155966929245
Postliceal,0.7576232878579604,0.2423767121420396
UniversitarDeLicenta,0.6810531247457008,0.3189468752542992
