,C1,C2,C3,C4,C5,C6,C7,C8
Prescolar,-0.8577206335725771,-0.057558016534726766,-0.33766841412656806,0.2762129381314461,0.16731713477151525,-0.11302842083053194,-0.17296914214406586,0.00026971993361978876
PrimarSiGimnazialInvatamantSpecial,-0.9068371770313008,-0.04270142977971106,0.3434709732714808,0.014893772360263001,-0.236536369448469,0.019535354888837078,-0.03260409315713951,-0.015319179494973502
PrimarSiGimnazial,-0.8886386018680975,-0.036983923604287906,0.3877955226715669,0.0052372853642237704,-0.23848234191373363,0.015510684659008973,-0.03475046266273744,0.01479272470243759
PrimarSiGimnazialSpecial,-0.8468872034620941,-0.10198725538183151,-0.3818430871552112,0.1702416848020914,-0.0004270385566778202,0.3046560307546504,0.06912682085879916,0.0005413872988328288
Liceal,-0.9296977563880753,-0.04462368974915278,-0.21325046639851658,0.011823109748189457,-0.02917533895516099,-0.24712634488601004,0.16165574957847065,0.00022051123752476389
Profesional,-0.12138733471081115,0.8432007632878438,0.2506461008610195,0.4304112450511981,0.15660163328104904,0.013002799359417592,0.038821616609807666,-0.00013328756453970174
Postliceal,-0.7233707411174689,-0.1234579310984397,0.317340115742002,-0.38164108234246813,0.46164331048713325,0.04286628140800173,0.013643004762016188,-0.00022265483120605895
UniversitarDeLicenta,-0.342159191298838,0.6890578952119625,-0.30629153879956594,-0.5448332989860515,-0.12435611656304525,0.013458516405948601,-0.04269533759981832,8.478384576205439e-05
